	series_id	seasonal	category_code	subcategory_code	item_code	demographics_code	characteristics_code	process_code	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
12593	CXU090110LB0102M              	U	EXPEND	FOODTOTL	90110	LB01	02	M	Fresh milk, all types by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2023	A01
12594	CXU090110LB0103M              	U	EXPEND	FOODTOTL	90110	LB01	03	M	Fresh milk, all types by Income Quintiles: Second 20 percent income quintile		2010	A01	2023	A01
12595	CXU090110LB0104M              	U	EXPEND	FOODTOTL	90110	LB01	04	M	Fresh milk, all types by Income Quintiles: Third 20 percent income quintile		2010	A01	2023	A01
12596	CXU090110LB0105M              	U	EXPEND	FOODTOTL	90110	LB01	05	M	Fresh milk, all types by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2023	A01
12597	CXU090110LB0106M              	U	EXPEND	FOODTOTL	90110	LB01	06	M	Fresh milk, all types by Income Quintiles: Highest 20 percent income quintile		2010	A01	2023	A01
12751	CXU090210LB0102M              	U	EXPEND	FOODTOTL	90210	LB01	02	M	Cream by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
12752	CXU090210LB0103M              	U	EXPEND	FOODTOTL	90210	LB01	03	M	Cream by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
12753	CXU090210LB0104M              	U	EXPEND	FOODTOTL	90210	LB01	04	M	Cream by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
12754	CXU090210LB0105M              	U	EXPEND	FOODTOTL	90210	LB01	05	M	Cream by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
12755	CXU090210LB0106M              	U	EXPEND	FOODTOTL	90210	LB01	06	M	Cream by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
12909	CXU100110LB0102M              	U	EXPEND	FOODTOTL	100110	LB01	02	M	Butter by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
12910	CXU100110LB0103M              	U	EXPEND	FOODTOTL	100110	LB01	03	M	Butter by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
12911	CXU100110LB0104M              	U	EXPEND	FOODTOTL	100110	LB01	04	M	Butter by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
12912	CXU100110LB0105M              	U	EXPEND	FOODTOTL	100110	LB01	05	M	Butter by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
12913	CXU100110LB0106M              	U	EXPEND	FOODTOTL	100110	LB01	06	M	Butter by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
13067	CXU100119LB0102M              	U	EXPEND	FOODTOTL	100119	LB01	02	M	Butter and margarine by Income Quintiles: Lowest 20 percent income quintile		2023	A01	2023	A01
13068	CXU100119LB0103M              	U	EXPEND	FOODTOTL	100119	LB01	03	M	Butter and margarine by Income Quintiles: Second 20 percent income quintile		2023	A01	2023	A01
13069	CXU100119LB0104M              	U	EXPEND	FOODTOTL	100119	LB01	04	M	Butter and margarine by Income Quintiles: Third 20 percent income quintile		2023	A01	2023	A01
13070	CXU100119LB0105M              	U	EXPEND	FOODTOTL	100119	LB01	05	M	Butter and margarine by Income Quintiles: Fourth 20 percent income quintile		2023	A01	2023	A01
13071	CXU100119LB0106M              	U	EXPEND	FOODTOTL	100119	LB01	06	M	Butter and margarine by Income Quintiles: Highest 20 percent income quintile		2023	A01	2023	A01
13195	CXU100210LB0102M              	U	EXPEND	FOODTOTL	100210	LB01	02	M	Cheese by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2023	A01
13196	CXU100210LB0103M              	U	EXPEND	FOODTOTL	100210	LB01	03	M	Cheese by Income Quintiles: Second 20 percent income quintile		2010	A01	2023	A01
13197	CXU100210LB0104M              	U	EXPEND	FOODTOTL	100210	LB01	04	M	Cheese by Income Quintiles: Third 20 percent income quintile		2010	A01	2023	A01
13198	CXU100210LB0105M              	U	EXPEND	FOODTOTL	100210	LB01	05	M	Cheese by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2023	A01
13199	CXU100210LB0106M              	U	EXPEND	FOODTOTL	100210	LB01	06	M	Cheese by Income Quintiles: Highest 20 percent income quintile		2010	A01	2023	A01
13353	CXU100410LB0102M              	U	EXPEND	FOODTOTL	100410	LB01	02	M	Ice cream and related products by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2023	A01
13354	CXU100410LB0103M              	U	EXPEND	FOODTOTL	100410	LB01	03	M	Ice cream and related products by Income Quintiles: Second 20 percent income quintile		2010	A01	2023	A01
13355	CXU100410LB0104M              	U	EXPEND	FOODTOTL	100410	LB01	04	M	Ice cream and related products by Income Quintiles: Third 20 percent income quintile		2010	A01	2023	A01
13356	CXU100410LB0105M              	U	EXPEND	FOODTOTL	100410	LB01	05	M	Ice cream and related products by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2023	A01
13357	CXU100410LB0106M              	U	EXPEND	FOODTOTL	100410	LB01	06	M	Ice cream and related products by Income Quintiles: Highest 20 percent income quintile		2010	A01	2023	A01
13511	CXU100510LB0102M              	U	EXPEND	FOODTOTL	100510	LB01	02	M	Miscellaneous dairy products by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
13512	CXU100510LB0103M              	U	EXPEND	FOODTOTL	100510	LB01	03	M	Miscellaneous dairy products by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
13513	CXU100510LB0104M              	U	EXPEND	FOODTOTL	100510	LB01	04	M	Miscellaneous dairy products by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
13514	CXU100510LB0105M              	U	EXPEND	FOODTOTL	100510	LB01	05	M	Miscellaneous dairy products by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
13515	CXU100510LB0106M              	U	EXPEND	FOODTOTL	100510	LB01	06	M	Miscellaneous dairy products by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
13669	CXU100519LB0102M              	U	EXPEND	FOODTOTL	100519	LB01	02	M	Other dairy and related products by Income Quintiles: Lowest 20 percent income quintile		2023	A01	2023	A01
13670	CXU100519LB0103M              	U	EXPEND	FOODTOTL	100519	LB01	03	M	Other dairy and related products by Income Quintiles: Second 20 percent income quintile		2023	A01	2023	A01
13671	CXU100519LB0104M              	U	EXPEND	FOODTOTL	100519	LB01	04	M	Other dairy and related products by Income Quintiles: Third 20 percent income quintile		2023	A01	2023	A01
13672	CXU100519LB0105M              	U	EXPEND	FOODTOTL	100519	LB01	05	M	Other dairy and related products by Income Quintiles: Fourth 20 percent income quintile		2023	A01	2023	A01
13673	CXU100519LB0106M              	U	EXPEND	FOODTOTL	100519	LB01	06	M	Other dairy and related products by Income Quintiles: Highest 20 percent income quintile		2023	A01	2023	A01
13797	CXU110110LB0102M              	U	EXPEND	FOODTOTL	110110	LB01	02	M	Apples by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2023	A01
13798	CXU110110LB0103M              	U	EXPEND	FOODTOTL	110110	LB01	03	M	Apples by Income Quintiles: Second 20 percent income quintile		2010	A01	2023	A01
13799	CXU110110LB0104M              	U	EXPEND	FOODTOTL	110110	LB01	04	M	Apples by Income Quintiles: Third 20 percent income quintile		2010	A01	2023	A01
13800	CXU110110LB0105M              	U	EXPEND	FOODTOTL	110110	LB01	05	M	Apples by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2023	A01
13801	CXU110110LB0106M              	U	EXPEND	FOODTOTL	110110	LB01	06	M	Apples by Income Quintiles: Highest 20 percent income quintile		2010	A01	2023	A01
13955	CXU110210LB0102M              	U	EXPEND	FOODTOTL	110210	LB01	02	M	Bananas by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2023	A01
13956	CXU110210LB0103M              	U	EXPEND	FOODTOTL	110210	LB01	03	M	Bananas by Income Quintiles: Second 20 percent income quintile		2010	A01	2023	A01
13957	CXU110210LB0104M              	U	EXPEND	FOODTOTL	110210	LB01	04	M	Bananas by Income Quintiles: Third 20 percent income quintile		2010	A01	2023	A01
13958	CXU110210LB0105M              	U	EXPEND	FOODTOTL	110210	LB01	05	M	Bananas by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2023	A01
13959	CXU110210LB0106M              	U	EXPEND	FOODTOTL	110210	LB01	06	M	Bananas by Income Quintiles: Highest 20 percent income quintile		2010	A01	2023	A01
14113	CXU110310LB0102M              	U	EXPEND	FOODTOTL	110310	LB01	02	M	Oranges by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
14114	CXU110310LB0103M              	U	EXPEND	FOODTOTL	110310	LB01	03	M	Oranges by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
14115	CXU110310LB0104M              	U	EXPEND	FOODTOTL	110310	LB01	04	M	Oranges by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
14116	CXU110310LB0105M              	U	EXPEND	FOODTOTL	110310	LB01	05	M	Oranges by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
14117	CXU110310LB0106M              	U	EXPEND	FOODTOTL	110310	LB01	06	M	Oranges by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
14271	CXU110319LB0102M              	U	EXPEND	FOODTOTL	110319	LB01	02	M	Citrus fruits by Income Quintiles: Lowest 20 percent income quintile		2023	A01	2023	A01
14272	CXU110319LB0103M              	U	EXPEND	FOODTOTL	110319	LB01	03	M	Citrus fruits by Income Quintiles: Second 20 percent income quintile		2023	A01	2023	A01
14273	CXU110319LB0104M              	U	EXPEND	FOODTOTL	110319	LB01	04	M	Citrus fruits by Income Quintiles: Third 20 percent income quintile		2023	A01	2023	A01
14274	CXU110319LB0105M              	U	EXPEND	FOODTOTL	110319	LB01	05	M	Citrus fruits by Income Quintiles: Fourth 20 percent income quintile		2023	A01	2023	A01
14275	CXU110319LB0106M              	U	EXPEND	FOODTOTL	110319	LB01	06	M	Citrus fruits by Income Quintiles: Highest 20 percent income quintile		2023	A01	2023	A01
14399	CXU110410LB0102M              	U	EXPEND	FOODTOTL	110410	LB01	02	M	Other fresh fruits by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2023	A01
14400	CXU110410LB0103M              	U	EXPEND	FOODTOTL	110410	LB01	03	M	Other fresh fruits by Income Quintiles: Second 20 percent income quintile		2010	A01	2023	A01
14401	CXU110410LB0104M              	U	EXPEND	FOODTOTL	110410	LB01	04	M	Other fresh fruits by Income Quintiles: Third 20 percent income quintile		2010	A01	2023	A01
14402	CXU110410LB0105M              	U	EXPEND	FOODTOTL	110410	LB01	05	M	Other fresh fruits by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2023	A01
14403	CXU110410LB0106M              	U	EXPEND	FOODTOTL	110410	LB01	06	M	Other fresh fruits by Income Quintiles: Highest 20 percent income quintile		2010	A01	2023	A01
14557	CXU110510LB0102M              	U	EXPEND	FOODTOTL	110510	LB01	02	M	Citrus fruits, excluding oranges by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
14558	CXU110510LB0103M              	U	EXPEND	FOODTOTL	110510	LB01	03	M	Citrus fruits, excluding oranges by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
14559	CXU110510LB0104M              	U	EXPEND	FOODTOTL	110510	LB01	04	M	Citrus fruits, excluding oranges by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
14560	CXU110510LB0105M              	U	EXPEND	FOODTOTL	110510	LB01	05	M	Citrus fruits, excluding oranges by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
14561	CXU110510LB0106M              	U	EXPEND	FOODTOTL	110510	LB01	06	M	Citrus fruits, excluding oranges by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
14715	CXU120110LB0102M              	U	EXPEND	FOODTOTL	120110	LB01	02	M	Potatoes by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2023	A01
14716	CXU120110LB0103M              	U	EXPEND	FOODTOTL	120110	LB01	03	M	Potatoes by Income Quintiles: Second 20 percent income quintile		2010	A01	2023	A01
14717	CXU120110LB0104M              	U	EXPEND	FOODTOTL	120110	LB01	04	M	Potatoes by Income Quintiles: Third 20 percent income quintile		2010	A01	2023	A01
14718	CXU120110LB0105M              	U	EXPEND	FOODTOTL	120110	LB01	05	M	Potatoes by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2023	A01
14719	CXU120110LB0106M              	U	EXPEND	FOODTOTL	120110	LB01	06	M	Potatoes by Income Quintiles: Highest 20 percent income quintile		2010	A01	2023	A01
14873	CXU120210LB0102M              	U	EXPEND	FOODTOTL	120210	LB01	02	M	Lettuce by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2023	A01
14874	CXU120210LB0103M              	U	EXPEND	FOODTOTL	120210	LB01	03	M	Lettuce by Income Quintiles: Second 20 percent income quintile		2010	A01	2023	A01
14875	CXU120210LB0104M              	U	EXPEND	FOODTOTL	120210	LB01	04	M	Lettuce by Income Quintiles: Third 20 percent income quintile		2010	A01	2023	A01
14876	CXU120210LB0105M              	U	EXPEND	FOODTOTL	120210	LB01	05	M	Lettuce by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2023	A01
14877	CXU120210LB0106M              	U	EXPEND	FOODTOTL	120210	LB01	06	M	Lettuce by Income Quintiles: Highest 20 percent income quintile		2010	A01	2023	A01
15031	CXU120310LB0102M              	U	EXPEND	FOODTOTL	120310	LB01	02	M	Tomatoes by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2023	A01
15032	CXU120310LB0103M              	U	EXPEND	FOODTOTL	120310	LB01	03	M	Tomatoes by Income Quintiles: Second 20 percent income quintile		2010	A01	2023	A01
15033	CXU120310LB0104M              	U	EXPEND	FOODTOTL	120310	LB01	04	M	Tomatoes by Income Quintiles: Third 20 percent income quintile		2010	A01	2023	A01
15034	CXU120310LB0105M              	U	EXPEND	FOODTOTL	120310	LB01	05	M	Tomatoes by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2023	A01
15035	CXU120310LB0106M              	U	EXPEND	FOODTOTL	120310	LB01	06	M	Tomatoes by Income Quintiles: Highest 20 percent income quintile		2010	A01	2023	A01
15189	CXU120410LB0102M              	U	EXPEND	FOODTOTL	120410	LB01	02	M	Other fresh vegetables by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2023	A01
15190	CXU120410LB0103M              	U	EXPEND	FOODTOTL	120410	LB01	03	M	Other fresh vegetables by Income Quintiles: Second 20 percent income quintile		2010	A01	2023	A01
15191	CXU120410LB0104M              	U	EXPEND	FOODTOTL	120410	LB01	04	M	Other fresh vegetables by Income Quintiles: Third 20 percent income quintile		2010	A01	2023	A01
15192	CXU120410LB0105M              	U	EXPEND	FOODTOTL	120410	LB01	05	M	Other fresh vegetables by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2023	A01
15193	CXU120410LB0106M              	U	EXPEND	FOODTOTL	120410	LB01	06	M	Other fresh vegetables by Income Quintiles: Highest 20 percent income quintile		2010	A01	2023	A01
15347	CXU130110LB0102M              	U	EXPEND	FOODTOTL	130110	LB01	02	M	Frozen orange juice by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
15348	CXU130110LB0103M              	U	EXPEND	FOODTOTL	130110	LB01	03	M	Frozen orange juice by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
15349	CXU130110LB0104M              	U	EXPEND	FOODTOTL	130110	LB01	04	M	Frozen orange juice by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
15350	CXU130110LB0105M              	U	EXPEND	FOODTOTL	130110	LB01	05	M	Frozen orange juice by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
15351	CXU130110LB0106M              	U	EXPEND	FOODTOTL	130110	LB01	06	M	Frozen orange juice by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
15505	CXU130119LB0102M              	U	EXPEND	FOODTOTL	130119	LB01	02	M	Frozen noncarbonated juices and drinks by Income Quintiles: Lowest 20 percent income quintile		2023	A01	2023	A01
15506	CXU130119LB0103M              	U	EXPEND	FOODTOTL	130119	LB01	03	M	Frozen noncarbonated juices and drinks by Income Quintiles: Second 20 percent income quintile		2023	A01	2023	A01
15507	CXU130119LB0104M              	U	EXPEND	FOODTOTL	130119	LB01	04	M	Frozen noncarbonated juices and drinks by Income Quintiles: Third 20 percent income quintile		2023	A01	2023	A01
15508	CXU130119LB0105M              	U	EXPEND	FOODTOTL	130119	LB01	05	M	Frozen noncarbonated juices and drinks by Income Quintiles: Fourth 20 percent income quintile		2023	A01	2023	A01
15509	CXU130119LB0106M              	U	EXPEND	FOODTOTL	130119	LB01	06	M	Frozen noncarbonated juices and drinks by Income Quintiles: Highest 20 percent income quintile		2023	A01	2023	A01
15633	CXU130121LB0102M              	U	EXPEND	FOODTOTL	130121	LB01	02	M	Frozen fruits by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
15634	CXU130121LB0103M              	U	EXPEND	FOODTOTL	130121	LB01	03	M	Frozen fruits by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
15635	CXU130121LB0104M              	U	EXPEND	FOODTOTL	130121	LB01	04	M	Frozen fruits by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
15636	CXU130121LB0105M              	U	EXPEND	FOODTOTL	130121	LB01	05	M	Frozen fruits by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
15637	CXU130121LB0106M              	U	EXPEND	FOODTOTL	130121	LB01	06	M	Frozen fruits by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
15791	CXU130122LB0102M              	U	EXPEND	FOODTOTL	130122	LB01	02	M	Frozen fruit juices by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
15792	CXU130122LB0103M              	U	EXPEND	FOODTOTL	130122	LB01	03	M	Frozen fruit juices by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
15793	CXU130122LB0104M              	U	EXPEND	FOODTOTL	130122	LB01	04	M	Frozen fruit juices by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
15794	CXU130122LB0105M              	U	EXPEND	FOODTOTL	130122	LB01	05	M	Frozen fruit juices by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
15795	CXU130122LB0106M              	U	EXPEND	FOODTOTL	130122	LB01	06	M	Frozen fruit juices by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
15949	CXU130129LB0102M              	U	EXPEND	FOODTOTL	130129	LB01	02	M	Frozen fruits and vegetables by Income Quintiles: Lowest 20 percent income quintile		2023	A01	2023	A01
15950	CXU130129LB0103M              	U	EXPEND	FOODTOTL	130129	LB01	03	M	Frozen fruits and vegetables by Income Quintiles: Second 20 percent income quintile		2023	A01	2023	A01
15951	CXU130129LB0104M              	U	EXPEND	FOODTOTL	130129	LB01	04	M	Frozen fruits and vegetables by Income Quintiles: Third 20 percent income quintile		2023	A01	2023	A01
15952	CXU130129LB0105M              	U	EXPEND	FOODTOTL	130129	LB01	05	M	Frozen fruits and vegetables by Income Quintiles: Fourth 20 percent income quintile		2023	A01	2023	A01
15953	CXU130129LB0106M              	U	EXPEND	FOODTOTL	130129	LB01	06	M	Frozen fruits and vegetables by Income Quintiles: Highest 20 percent income quintile		2023	A01	2023	A01
16077	CXU130211LB0102M              	U	EXPEND	FOODTOTL	130211	LB01	02	M	Fresh fruit juice by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
16078	CXU130211LB0103M              	U	EXPEND	FOODTOTL	130211	LB01	03	M	Fresh fruit juice by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
16079	CXU130211LB0104M              	U	EXPEND	FOODTOTL	130211	LB01	04	M	Fresh fruit juice by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
16080	CXU130211LB0105M              	U	EXPEND	FOODTOTL	130211	LB01	05	M	Fresh fruit juice by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
16081	CXU130211LB0106M              	U	EXPEND	FOODTOTL	130211	LB01	06	M	Fresh fruit juice by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
16235	CXU130212LB0102M              	U	EXPEND	FOODTOTL	130212	LB01	02	M	Canned and bottled fruit juice by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
16236	CXU130212LB0103M              	U	EXPEND	FOODTOTL	130212	LB01	03	M	Canned and bottled fruit juice by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
16237	CXU130212LB0104M              	U	EXPEND	FOODTOTL	130212	LB01	04	M	Canned and bottled fruit juice by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
16238	CXU130212LB0105M              	U	EXPEND	FOODTOTL	130212	LB01	05	M	Canned and bottled fruit juice by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
16239	CXU130212LB0106M              	U	EXPEND	FOODTOTL	130212	LB01	06	M	Canned and bottled fruit juice by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
16393	CXU130310LB0102M              	U	EXPEND	FOODTOTL	130310	LB01	02	M	Canned fruits by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
16394	CXU130310LB0103M              	U	EXPEND	FOODTOTL	130310	LB01	03	M	Canned fruits by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
16395	CXU130310LB0104M              	U	EXPEND	FOODTOTL	130310	LB01	04	M	Canned fruits by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
16396	CXU130310LB0105M              	U	EXPEND	FOODTOTL	130310	LB01	05	M	Canned fruits by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
16397	CXU130310LB0106M              	U	EXPEND	FOODTOTL	130310	LB01	06	M	Canned fruits by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
16551	CXU130320LB0102M              	U	EXPEND	FOODTOTL	130320	LB01	02	M	Dried fruits by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
16552	CXU130320LB0103M              	U	EXPEND	FOODTOTL	130320	LB01	03	M	Dried fruits by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
16553	CXU130320LB0104M              	U	EXPEND	FOODTOTL	130320	LB01	04	M	Dried fruits by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
16554	CXU130320LB0105M              	U	EXPEND	FOODTOTL	130320	LB01	05	M	Dried fruits by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
16555	CXU130320LB0106M              	U	EXPEND	FOODTOTL	130320	LB01	06	M	Dried fruits by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
16709	CXU140110LB0102M              	U	EXPEND	FOODTOTL	140110	LB01	02	M	Frozen vegetables by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
16710	CXU140110LB0103M              	U	EXPEND	FOODTOTL	140110	LB01	03	M	Frozen vegetables by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
16711	CXU140110LB0104M              	U	EXPEND	FOODTOTL	140110	LB01	04	M	Frozen vegetables by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
16712	CXU140110LB0105M              	U	EXPEND	FOODTOTL	140110	LB01	05	M	Frozen vegetables by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
16713	CXU140110LB0106M              	U	EXPEND	FOODTOTL	140110	LB01	06	M	Frozen vegetables by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
16867	CXU140210LB0102M              	U	EXPEND	FOODTOTL	140210	LB01	02	M	Canned beans by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
16868	CXU140210LB0103M              	U	EXPEND	FOODTOTL	140210	LB01	03	M	Canned beans by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
16869	CXU140210LB0104M              	U	EXPEND	FOODTOTL	140210	LB01	04	M	Canned beans by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
16870	CXU140210LB0105M              	U	EXPEND	FOODTOTL	140210	LB01	05	M	Canned beans by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
16871	CXU140210LB0106M              	U	EXPEND	FOODTOTL	140210	LB01	06	M	Canned beans by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
17025	CXU140219LB0102M              	U	EXPEND	FOODTOTL	140219	LB01	02	M	Canned fruits and vegetables by Income Quintiles: Lowest 20 percent income quintile		2023	A01	2023	A01
17026	CXU140219LB0103M              	U	EXPEND	FOODTOTL	140219	LB01	03	M	Canned fruits and vegetables by Income Quintiles: Second 20 percent income quintile		2023	A01	2023	A01
17027	CXU140219LB0104M              	U	EXPEND	FOODTOTL	140219	LB01	04	M	Canned fruits and vegetables by Income Quintiles: Third 20 percent income quintile		2023	A01	2023	A01
17028	CXU140219LB0105M              	U	EXPEND	FOODTOTL	140219	LB01	05	M	Canned fruits and vegetables by Income Quintiles: Fourth 20 percent income quintile		2023	A01	2023	A01
17029	CXU140219LB0106M              	U	EXPEND	FOODTOTL	140219	LB01	06	M	Canned fruits and vegetables by Income Quintiles: Highest 20 percent income quintile		2023	A01	2023	A01
17153	CXU140220LB0102M              	U	EXPEND	FOODTOTL	140220	LB01	02	M	Canned corn by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
17154	CXU140220LB0103M              	U	EXPEND	FOODTOTL	140220	LB01	03	M	Canned corn by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
17155	CXU140220LB0104M              	U	EXPEND	FOODTOTL	140220	LB01	04	M	Canned corn by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
17156	CXU140220LB0105M              	U	EXPEND	FOODTOTL	140220	LB01	05	M	Canned corn by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
17157	CXU140220LB0106M              	U	EXPEND	FOODTOTL	140220	LB01	06	M	Canned corn by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
17311	CXU140230LB0102M              	U	EXPEND	FOODTOTL	140230	LB01	02	M	Canned miscellaneous vegetables by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
17312	CXU140230LB0103M              	U	EXPEND	FOODTOTL	140230	LB01	03	M	Canned miscellaneous vegetables by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
17313	CXU140230LB0104M              	U	EXPEND	FOODTOTL	140230	LB01	04	M	Canned miscellaneous vegetables by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
17314	CXU140230LB0105M              	U	EXPEND	FOODTOTL	140230	LB01	05	M	Canned miscellaneous vegetables by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
17315	CXU140230LB0106M              	U	EXPEND	FOODTOTL	140230	LB01	06	M	Canned miscellaneous vegetables by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
17469	CXU140310LB0102M              	U	EXPEND	FOODTOTL	140310	LB01	02	M	Dried processed vegetables by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
17470	CXU140310LB0103M              	U	EXPEND	FOODTOTL	140310	LB01	03	M	Dried processed vegetables by Income Quintiles: Second 20 percent income quintile		2010	A01	2022	A01
17471	CXU140310LB0104M              	U	EXPEND	FOODTOTL	140310	LB01	04	M	Dried processed vegetables by Income Quintiles: Third 20 percent income quintile		2010	A01	2022	A01
17472	CXU140310LB0105M              	U	EXPEND	FOODTOTL	140310	LB01	05	M	Dried processed vegetables by Income Quintiles: Fourth 20 percent income quintile		2010	A01	2022	A01
17473	CXU140310LB0106M              	U	EXPEND	FOODTOTL	140310	LB01	06	M	Dried processed vegetables by Income Quintiles: Highest 20 percent income quintile		2010	A01	2022	A01
17627	CXU140320LB0102M              	U	EXPEND	FOODTOTL	140320	LB01	02	M	Dried peas by Income Quintiles: Lowest 20 percent income quintile		2010	A01	2022	A01
